prompt,response
Capex vs Opex ?,"Opex : 266 lignes, 296 921 DH. Capex : 112 lignes, 413 398 DH."
Comment fonctionne Z-Score ?,Z-Score est un algorithme de détection d'anomalies. Il identifie les valeurs atypiques dans les données pour signaler des écarts importants.
Budget vs Réalisé pour Frais généraux,Budget : 280 673 DH. Réalisé : 387 384 DH. Écart : 13.4%. Favorable.
Quel est le statut du poste Investissements ?,"Poste CAPEX (Investissements) : Budget 219 598 DH, Réalisé 85 065 DH. Variance : 19.0%. Tendance vs N-1 : 18.1%."
Quel est le taux de recapture du parc P3 ?,Le taux de recapture moyen du parc P3 est de 61.4% pour les opérations d'Échantillonnage.
Combien de DA sont en cours ?,Il y a 34 DA en cours dont 10 sans commande associée. Valeur totale : 320 416 DH.
Évolution mensuelle des achats ?,"Dernier mois : 25 DA créées, 56 BC créées. Valeur : 189 071 DH. Tendance : stable."
Quel est le taux de recapture du parc P6 ?,Le taux de recapture moyen du parc P6 est de 43.5% pour les opérations d'Échantillonnage.
Budget vs Réalisé pour Résultat net,Budget : 342 403 DH. Réalisé : 490 326 DH. Écart : 22.8%. Défavorable.
Capex vs Opex ?,"Opex : 419 lignes, 87 122 DH. Capex : 128 lignes, 73 099 DH."
Quelles sont les anomalies financières ?,6 anomalies détectées via LOF. Poste principal : Cash flow avec variance de -22.6%.
À bientôt,Au revoir ! Bonne utilisation d'AZURA AQUA.
Résumé YTD Finance,"YTD : Budget total 277 689 DH, Réalisé 192 487 DH. Variance globale : -6.1%. Principaux drivers : EBITDA, Frais généraux."
Quel est le taux de recapture du parc P2-2 ?,Le taux de recapture moyen du parc P2-2 est de 51.5% pour les opérations d'Échantillonnage.
Salut,"Salut ! Que souhaitez-vous consulter ? Estran, Finance, ou Achats ?"
Comment fonctionne Z-Score ?,Z-Score est un algorithme de détection d'anomalies. Il identifie les valeurs atypiques dans les données pour signaler des écarts importants.
Budget vs Réalisé pour Frais généraux,Budget : 106 041 DH. Réalisé : 434 185 DH. Écart : 2.3%. Défavorable.
Fichiers : ventes.xlsx,"Fichier enregistré. Champs sensibles à masquer ? Exemple : salaires, marge"
Quel est le statut du poste Investissements ?,"Poste CAPEX (Investissements) : Budget 222 007 DH, Réalisé 58 393 DH. Variance : 16.6%. Tendance vs N-1 : -15.7%."
Budget vs Réalisé pour Matières premières,Budget : 357 240 DH. Réalisé : 404 203 DH. Écart : -21.8%. Favorable.
Quelles sont les données du parc P2-4 ?,Le parc P2-4 est situé en zone Nord. Phase : Prégro. Biomasse récoltée : 697 kg. Taux de recapture : 74.9%.
Fournisseur AGATRAVE ?,"AGATRAVE : 14 commandes, valeur totale 184 641 DH. Catégories : CO2 INTRANT, INFORMATIQUE."
Budget vs Réalisé pour Frais généraux,Budget : 27 620 DH. Réalisé : 52 632 DH. Écart : -5.2%. Défavorable.
Statut des bons de commande ?,BC en cours : 31. BC livrées : 187. Statut principal : En cours de préparation.
Compare Primaire et Hors calibre,"Primaire : 36 lignes, taux recapture 64.7%. Hors calibre : 21 lignes, taux recapture 27.6%."
Quelles sont les données du parc P2-3 ?,Le parc P2-3 est situé en zone Ouest. Phase : grossissement. Biomasse récoltée : 436 kg. Taux de recapture : 81.4%.
Bye,À bientôt ! L'assistant reste disponible.
Résumé YTD Finance,"YTD : Budget total 402 638 DH, Réalisé 67 750 DH. Variance globale : -4.0%. Principaux drivers : Chiffre d'affaires, Matières premières."
Montre les données de type Retour commercial,"Pour le type « Retour commercial », il y a 33 lignes. Taux de recapture moyen : 25.6%. Biomasse totale : 281 kg."
Comment importer des données ?,Glissez votre fichier .xlsx dans la barre d'import en haut de chaque page. Formats supportés : .xlsx et .xls (max 20 Mo).
Fournisseur AGA IKHWAN ?,"AGA IKHWAN : 20 commandes, valeur totale 267 909 DH. Catégories : STRUCTURE MÉTALLIQUE, INFORMATIQUE."
Résumé YTD Finance,"YTD : Budget total 403 363 DH, Réalisé 214 761 DH. Variance globale : 19.4%. Principaux drivers : Matières premières, Main d'oeuvre directe."
Achats pour la catégorie PRESTATION ?,"Catégorie PRESTATION : 71 lignes, valeur 253 292 DH. Fournisseur principal : ACRAPLAST."
Capex vs Opex ?,"Opex : 431 lignes, 39 692 DH. Capex : 131 lignes, 416 698 DH."
Configure le module Estran,"Module Estran sélectionné. Quels fichiers Excel souhaitez-vous utiliser ? Focus : anomalies, KPI, ou les deux ?"
KPI de SOUFIANE ELKAFRAOUI ?,SOUFIANE ELKAFRAOUI a créé 11 DA. BC associées : 36. Taux de transformation DA→BC : 62%.
Valider la configuration,Configuration validée pour le module Estran. Les paramètres sont enregistrés.
Y a-t-il des anomalies sur le parc P8 ?,"Oui, 1 anomalies détectées (Mineure) via Z-Score. Biomasse écart : 1460 kg. Vérifiez les lignes en zone Sud 1."
Salut,"Salut ! Que souhaitez-vous consulter ? Estran, Finance, ou Achats ?"
Quelles sont les anomalies financières ?,3 anomalies détectées via Z-Score. Poste principal : Investissements avec variance de -2.0%.
Quelles sont les données du parc P7 ?,Le parc P7 est situé en zone Est. Phase : Prégro. Biomasse récoltée : 927 kg. Taux de recapture : 34.7%.
Statut des bons de commande ?,BC en cours : 34. BC livrées : 58. Statut principal : En cours de préparation.
KPI de MAMOUN OUDGHIRI ?,MAMOUN OUDGHIRI a créé 8 DA. BC associées : 3. Taux de transformation DA→BC : 70%.
KPI de MOHAMED TAOUFIQ ?,MOHAMED TAOUFIQ a créé 27 DA. BC associées : 6. Taux de transformation DA→BC : 66%.
Compare Primaire et Hors calibre,"Primaire : 36 lignes, taux recapture 66.1%. Hors calibre : 18 lignes, taux recapture 20.6%."
Quelles sont les données du parc P2-2 ?,Le parc P2-2 est situé en zone Nord. Phase : Échantillonnage. Biomasse récoltée : 1233 kg. Taux de recapture : 49.9%.
Quels modules sont disponibles ?,"Trois modules : Estran (biomasse, parcs), Finance (budget, variances), Achats (DA, BC, fournisseurs)."
Configure le module Achats,"Module Achats sélectionné. Quels fichiers Excel souhaitez-vous utiliser ? Focus : anomalies, KPI, ou les deux ?"
Quelles sont les données du parc P3 ?,Le parc P3 est situé en zone Sud 1. Phase : grossissement. Biomasse récoltée : 1841 kg. Taux de recapture : 52.5%.
Au revoir,À bientôt ! L'assistant reste disponible.
Quel est le statut du poste Résultat net ?,"Poste RN (Résultat net) : Budget 36 582 DH, Réalisé 74 483 DH. Variance : 14.5%. Tendance vs N-1 : 28.3%."
Achats pour la catégorie INFORMATIQUE ?,"Catégorie INFORMATIQUE : 69 lignes, valeur 79 133 DH. Fournisseur principal : ACRAPLAST."
Valider la configuration,Configuration validée pour le module Estran. Les paramètres sont enregistrés.
Statut des bons de commande ?,BC en cours : 65. BC livrées : 93. Statut principal : Envoyé.
Configure le module Achats,"Module Achats sélectionné. Quels fichiers Excel souhaitez-vous utiliser ? Focus : anomalies, KPI, ou les deux ?"
Budget vs Réalisé pour Résultat net,Budget : 429 165 DH. Réalisé : 181 049 DH. Écart : 27.3%. Favorable.
Statut des bons de commande ?,BC en cours : 93. BC livrées : 131. Statut principal : En révision.
Configure le module Estran,"Module Estran sélectionné. Quels fichiers Excel souhaitez-vous utiliser ? Focus : anomalies, KPI, ou les deux ?"
Quel est le statut du poste Investissements ?,"Poste CAPEX (Investissements) : Budget 49 096 DH, Réalisé 338 803 DH. Variance : 10.2%. Tendance vs N-1 : 0.5%."
Génère un commentaire IA sur les finances,Le résultat YTD montre une variance de -21.1% vs budget. Le principal driver est « Frais généraux ». Recommandation : surveiller les postes à forte déviation.
Montre les données de type Récolte commerciale,"Pour le type « Récolte commerciale », il y a 31 lignes. Taux de recapture moyen : 78.4%. Biomasse totale : 1167 kg."
Compare Primaire et Hors calibre,"Primaire : 27 lignes, taux recapture 43.0%. Hors calibre : 29 lignes, taux recapture 35.5%."
Quelles sont les anomalies financières ?,1 anomalies détectées via Z-Score. Poste principal : Investissements avec variance de -12.6%.
Statut des bons de commande ?,BC en cours : 69. BC livrées : 112. Statut principal : Confirmation reçue.
Y a-t-il des anomalies sur le parc P7-ext ?,"Oui, 5 anomalies détectées (Mineure) via LOF. Biomasse écart : 1080 kg. Vérifiez les lignes en zone Sud 1."
Au revoir,Bonne journée !
Quelles sont les anomalies financières ?,7 anomalies détectées via Isolation Forest. Poste principal : Chiffre d'affaires avec variance de -27.7%.
Quel est le taux de recapture du parc P2-4 ?,Le taux de recapture moyen du parc P2-4 est de 46.6% pour les opérations d'Échantillonnage.
Achats pour la catégorie MATÉRIEL D'USURE ?,"Catégorie MATÉRIEL D'USURE : 18 lignes, valeur 5 630 DH. Fournisseur principal : AGATRAVE."
Quels modules sont disponibles ?,"Trois modules : Estran (biomasse, parcs), Finance (budget, variances), Achats (DA, BC, fournisseurs)."
Capex vs Opex ?,"Opex : 274 lignes, 373 075 DH. Capex : 91 lignes, 434 463 DH."
Bye,À bientôt ! L'assistant reste disponible.
Montre les données de type Échantillonnage,"Pour le type « Échantillonnage », il y a 48 lignes. Taux de recapture moyen : 77.5%. Biomasse totale : 1380 kg."
Statut des bons de commande ?,BC en cours : 68. BC livrées : 60. Statut principal : Document lié créé.
Combien de DA sont en cours ?,Il y a 68 DA en cours dont 16 sans commande associée. Valeur totale : 81 428 DH.
Quel est le taux de recapture du parc P5 ?,Le taux de recapture moyen du parc P5 est de 34.0% pour les opérations d'Échantillonnage.
Quel est le taux de recapture du parc P7 ?,Le taux de recapture moyen du parc P7 est de 43.6% pour les opérations d'Transfert.
Quel est le statut du poste Amortissements ?,"Poste AMORT (Amortissements) : Budget 481 363 DH, Réalisé 148 417 DH. Variance : -6.8%. Tendance vs N-1 : 16.5%."
Fichiers : Exemple BDD estran.xlsx,"Fichier enregistré. Champs sensibles à masquer ? Exemple : fournisseur, conditions paiement"
Quelles sont les données du parc P8 ?,Le parc P8 est situé en zone Sud. Phase : grossissement. Biomasse récoltée : 976 kg. Taux de recapture : 20.2%.
Au revoir,Bonne journée !
Bye,À bientôt ! L'assistant reste disponible.
Quel est le taux de recapture du parc P8 ?,Le taux de recapture moyen du parc P8 est de 48.5% pour les opérations d'Transfert.
Montre les données de type Retour commercial,"Pour le type « Retour commercial », il y a 14 lignes. Taux de recapture moyen : 51.3%. Biomasse totale : 1191 kg."
Merci,De rien ! N'hésitez pas si vous avez d'autres questions sur AZURA AQUA.
Quelles sont les données du parc P8 ?,Le parc P8 est situé en zone Est. Phase : grossissement. Biomasse récoltée : 398 kg. Taux de recapture : 66.1%.
Bye,Bonne journée !
Quelles sont les anomalies financières ?,6 anomalies détectées via Isolation Forest. Poste principal : Chiffre d'affaires avec variance de -13.1%.
Y a-t-il des anomalies sur le parc P3 ?,"Oui, 4 anomalies détectées (Majeure) via One-Class SVM. Biomasse écart : 1251 kg. Vérifiez les lignes en zone Nord."
Quelles sont les données du parc P2-4 ?,Le parc P2-4 est situé en zone Sud. Phase : Échantillonnage. Biomasse récoltée : 367 kg. Taux de recapture : 49.3%.
Quelles sont les données du parc P2 ?,Le parc P2 est situé en zone Est. Phase : Échantillonnage. Biomasse récoltée : 1065 kg. Taux de recapture : 43.8%.
Comment importer des données ?,Glissez votre fichier .xlsx dans la barre d'import en haut de chaque page. Formats supportés : .xlsx et .xls (max 20 Mo).
KPI de MOHAMED TAOUFIQ ?,MOHAMED TAOUFIQ a créé 19 DA. BC associées : 22. Taux de transformation DA→BC : 65%.
Quels modules sont disponibles ?,"Trois modules : Estran (biomasse, parcs), Finance (budget, variances), Achats (DA, BC, fournisseurs)."
Achats pour la catégorie ELECTRICITÉ ?,"Catégorie ELECTRICITÉ : 22 lignes, valeur 141 090 DH. Fournisseur principal : ENTERPRISE BOUKRATE."
KPI de SAID BOUKHLIK ?,SAID BOUKHLIK a créé 44 DA. BC associées : 21. Taux de transformation DA→BC : 75%.
Combien de DA sont en cours ?,Il y a 10 DA en cours dont 28 sans commande associée. Valeur totale : 114 343 DH.
Quel est le statut du poste Matières premières ?,"Poste MP (Matières premières) : Budget 149 555 DH, Réalisé 44 074 DH. Variance : 15.8%. Tendance vs N-1 : -13.6%."
Quelles sont les données du parc P7-ext ?,Le parc P7-ext est situé en zone Sud 1. Phase : grossissement. Biomasse récoltée : 742 kg. Taux de recapture : 29.8%.
Génère un commentaire IA sur les finances,Le résultat YTD montre une variance de 26.5% vs budget. Le principal driver est « EBITDA ». Recommandation : surveiller les postes à forte déviation.
Montre les données de type Retour commercial,"Pour le type « Retour commercial », il y a 27 lignes. Taux de recapture moyen : 48.6%. Biomasse totale : 857 kg."
Quel est le taux de recapture du parc P2-3 ?,Le taux de recapture moyen du parc P2-3 est de 51.2% pour les opérations d'Échantillonnage.
Compare Primaire et Hors calibre,"Primaire : 19 lignes, taux recapture 33.9%. Hors calibre : 22 lignes, taux recapture 79.7%."
Fichiers : Suivi Global CCS.xlsm,"Fichier enregistré. Champs sensibles à masquer ? Exemple : coût unitaire, coût unitaire"
Quel est le statut du poste Main d'oeuvre directe ?,"Poste MOD (Main d'oeuvre directe) : Budget 313 229 DH, Réalisé 197 609 DH. Variance : -20.7%. Tendance vs N-1 : -19.1%."
Configure le module Achats,"Module Achats sélectionné. Quels fichiers Excel souhaitez-vous utiliser ? Focus : anomalies, KPI, ou les deux ?"
Valider la configuration,Configuration validée pour le module Finance. Les paramètres sont enregistrés.
Quel est le statut du poste Amortissements ?,"Poste AMORT (Amortissements) : Budget 415 011 DH, Réalisé 76 671 DH. Variance : -21.7%. Tendance vs N-1 : -12.8%."
Quelles sont les données du parc P5 ?,Le parc P5 est situé en zone Ouest. Phase : grossissement. Biomasse récoltée : 1812 kg. Taux de recapture : 69.1%.
Achats pour la catégorie CARBURANTS ?,"Catégorie CARBURANTS : 66 lignes, valeur 410 442 DH. Fournisseur principal : AGATRAVE."
Comment importer des données ?,Glissez votre fichier .xlsx dans la barre d'import en haut de chaque page. Formats supportés : .xlsx et .xls (max 20 Mo).
Bye,À bientôt ! L'assistant reste disponible.
Comment fonctionne Isolation Forest ?,Isolation Forest est un algorithme de détection d'anomalies. Il identifie les valeurs atypiques dans les données pour signaler des écarts importants.
Hello,Bonjour ! Assistant AZURA AQUA à votre service. Quel module vous intéresse ?
Résumé YTD Finance,"YTD : Budget total 187 257 DH, Réalisé 452 108 DH. Variance globale : 16.9%. Principaux drivers : Amortissements, EBITDA."
Quel est le statut du poste Matières premières ?,"Poste MP (Matières premières) : Budget 292 633 DH, Réalisé 355 766 DH. Variance : -6.8%. Tendance vs N-1 : -14.9%."
Combien de DA sont en cours ?,Il y a 18 DA en cours dont 20 sans commande associée. Valeur totale : 16 738 DH.
Quel est le taux de recapture du parc P2-2 ?,Le taux de recapture moyen du parc P2-2 est de 35.4% pour les opérations d'Transfert.
KPI de MAROUANE AITTOUGHA ?,MAROUANE AITTOUGHA a créé 29 DA. BC associées : 12. Taux de transformation DA→BC : 84%.
Montre les données de type Récolte commerciale,"Pour le type « Récolte commerciale », il y a 10 lignes. Taux de recapture moyen : 89.6%. Biomasse totale : 442 kg."
Y a-t-il des anomalies sur le parc P5 ?,"Oui, 3 anomalies détectées (Majeure) via Z-Score. Biomasse écart : 1016 kg. Vérifiez les lignes en zone Sud 1."
Quelles sont les données du parc P5 ?,Le parc P5 est situé en zone Est. Phase : Prégro. Biomasse récoltée : 977 kg. Taux de recapture : 38.9%.
Génère un commentaire IA sur les finances,Le résultat YTD montre une variance de 29.4% vs budget. Le principal driver est « EBITDA ». Recommandation : surveiller les postes à forte déviation.
Comment fonctionne Isolation Forest ?,Isolation Forest est un algorithme de détection d'anomalies. Il identifie les valeurs atypiques dans les données pour signaler des écarts importants.
Achats pour la catégorie CO2 INTRANT ?,"Catégorie CO2 INTRANT : 17 lignes, valeur 229 825 DH. Fournisseur principal : AGA IKHWAN."
Merci,De rien ! N'hésitez pas si vous avez d'autres questions sur AZURA AQUA.
Comment fonctionne LOF ?,LOF est un algorithme de détection d'anomalies. Il identifie les valeurs atypiques dans les données pour signaler des écarts importants.
Y a-t-il des anomalies sur le parc P5 ?,"Oui, 2 anomalies détectées (Mineure) via LOF. Biomasse écart : 872 kg. Vérifiez les lignes en zone Est."
Quelles sont les anomalies financières ?,6 anomalies détectées via Z-Score. Poste principal : Investissements avec variance de -2.6%.
Quelles sont les anomalies financières ?,1 anomalies détectées via LOF. Poste principal : Amortissements avec variance de 3.2%.
Évolution mensuelle des achats ?,"Dernier mois : 26 DA créées, 15 BC créées. Valeur : 111 994 DH. Tendance : stable."
Montre les données de type Retour commercial,"Pour le type « Retour commercial », il y a 36 lignes. Taux de recapture moyen : 25.2%. Biomasse totale : 1489 kg."
Accès pour admin et manager,Accès configuré pour admin et manager. Délais ou priorités spécifiques ?
Comment fonctionne LOF ?,LOF est un algorithme de détection d'anomalies. Il identifie les valeurs atypiques dans les données pour signaler des écarts importants.
Quel est le taux de recapture du parc P6 ?,Le taux de recapture moyen du parc P6 est de 66.5% pour les opérations d'Transfert.
Merci,De rien ! N'hésitez pas si vous avez d'autres questions sur AZURA AQUA.
Accès pour chef de production et directeur,Accès configuré pour chef de production et directeur. Délais ou priorités spécifiques ?
Montre les données de type Échantillonnage,"Pour le type « Échantillonnage », il y a 40 lignes. Taux de recapture moyen : 48.6%. Biomasse totale : 660 kg."
Résumé YTD Finance,"YTD : Budget total 443 612 DH, Réalisé 41 445 DH. Variance globale : -15.0%. Principaux drivers : Investissements, EBITDA."
Configure le module Achats,"Module Achats sélectionné. Quels fichiers Excel souhaitez-vous utiliser ? Focus : anomalies, KPI, ou les deux ?"
Fichiers : Suivi Global CCS.xlsm,"Fichier enregistré. Champs sensibles à masquer ? Exemple : marge, remise"
Quelles sont les données du parc P5 ?,Le parc P5 est situé en zone Ouest. Phase : Prégro. Biomasse récoltée : 1575 kg. Taux de recapture : 65.5%.
Quelles sont les données du parc P6 ?,Le parc P6 est situé en zone Sud. Phase : Échantillonnage. Biomasse récoltée : 1500 kg. Taux de recapture : 32.0%.
Achats pour la catégorie ENGRAIS SOLIDE ?,"Catégorie ENGRAIS SOLIDE : 15 lignes, valeur 57 441 DH. Fournisseur principal : AGRIROUES MAROC."
Statut des bons de commande ?,BC en cours : 63. BC livrées : 115. Statut principal : En cours d'approbation.
Quelles sont les données du parc P3 ?,Le parc P3 est situé en zone Ouest. Phase : grossissement. Biomasse récoltée : 1404 kg. Taux de recapture : 58.8%.
Quelles sont les anomalies financières ?,3 anomalies détectées via One-Class SVM. Poste principal : Amortissements avec variance de -20.2%.
Comment importer des données ?,Glissez votre fichier .xlsx dans la barre d'import en haut de chaque page. Formats supportés : .xlsx et .xls (max 20 Mo).
Quel est le taux de recapture du parc P7-ext ?,Le taux de recapture moyen du parc P7-ext est de 39.4% pour les opérations d'Transfert.
Fournisseur AGATRAVE ?,"AGATRAVE : 24 commandes, valeur totale 70 327 DH. Catégories : ÉQUIPEMENT LABORATOIRE, STRUCTURE MÉTALLIQUE."
Configure le module Achats,"Module Achats sélectionné. Quels fichiers Excel souhaitez-vous utiliser ? Focus : anomalies, KPI, ou les deux ?"
Accès pour tous et contrôleur de gestion,Accès configuré pour tous et contrôleur de gestion. Délais ou priorités spécifiques ?
Quels modules sont disponibles ?,"Trois modules : Estran (biomasse, parcs), Finance (budget, variances), Achats (DA, BC, fournisseurs)."
Achats pour la catégorie ENGRAIS SOLIDE ?,"Catégorie ENGRAIS SOLIDE : 9 lignes, valeur 414 665 DH. Fournisseur principal : ACRAPLAST."
Au revoir,Au revoir ! Bonne utilisation d'AZURA AQUA.
Quelles sont les données du parc P5 ?,Le parc P5 est situé en zone Nord. Phase : grossissement. Biomasse récoltée : 1681 kg. Taux de recapture : 85.5%.
Statut des bons de commande ?,BC en cours : 88. BC livrées : 141. Statut principal : Confirmation reçue.
Capex vs Opex ?,"Opex : 264 lignes, 367 849 DH. Capex : 66 lignes, 131 002 DH."
Montre les données de type Retour commercial,"Pour le type « Retour commercial », il y a 22 lignes. Taux de recapture moyen : 32.7%. Biomasse totale : 1398 kg."
Accès pour responsable qualité et contrôleur de gestion,Accès configuré pour responsable qualité et contrôleur de gestion. Délais ou priorités spécifiques ?
Quel est le statut du poste Chiffre d'affaires ?,"Poste CA (Chiffre d'affaires) : Budget 29 926 DH, Réalisé 193 424 DH. Variance : 19.9%. Tendance vs N-1 : -25.4%."
Quelles sont les données du parc P2 ?,Le parc P2 est situé en zone Sud. Phase : grossissement. Biomasse récoltée : 1173 kg. Taux de recapture : 62.8%.
Combien de DA sont en cours ?,Il y a 49 DA en cours dont 27 sans commande associée. Valeur totale : 61 659 DH.
Montre les données de type Transfert,"Pour le type « Transfert », il y a 50 lignes. Taux de recapture moyen : 31.1%. Biomasse totale : 1328 kg."
Configure le module Estran,"Module Estran sélectionné. Quels fichiers Excel souhaitez-vous utiliser ? Focus : anomalies, KPI, ou les deux ?"
Quel est le taux de recapture du parc P3 ?,Le taux de recapture moyen du parc P3 est de 50.3% pour les opérations d'Transfert.
Quel est le statut du poste Matières premières ?,"Poste MP (Matières premières) : Budget 25 134 DH, Réalisé 125 110 DH. Variance : -4.8%. Tendance vs N-1 : 17.6%."
KPI de SOUFIANE ELKAFRAOUI ?,SOUFIANE ELKAFRAOUI a créé 41 DA. BC associées : 5. Taux de transformation DA→BC : 71%.
Au revoir,Au revoir ! Bonne utilisation d'AZURA AQUA.
Compare Primaire et Hors calibre,"Primaire : 31 lignes, taux recapture 72.4%. Hors calibre : 18 lignes, taux recapture 60.9%."
Quels modules sont disponibles ?,"Trois modules : Estran (biomasse, parcs), Finance (budget, variances), Achats (DA, BC, fournisseurs)."
KPI de RIDA AYYI ?,RIDA AYYI a créé 11 DA. BC associées : 11. Taux de transformation DA→BC : 65%.
Budget vs Réalisé pour EBITDA,Budget : 63 997 DH. Réalisé : 300 767 DH. Écart : 10.6%. Défavorable.
Achats pour la catégorie CARBURANTS ?,"Catégorie CARBURANTS : 55 lignes, valeur 191 473 DH. Fournisseur principal : AGATRAVE."
Quelles sont les données du parc P4 ?,Le parc P4 est situé en zone Sud. Phase : Prégro. Biomasse récoltée : 1255 kg. Taux de recapture : 66.5%.
KPI de SAID BOUKHLIK ?,SAID BOUKHLIK a créé 5 DA. BC associées : 37. Taux de transformation DA→BC : 95%.
Quel est le taux de recapture du parc P7 ?,Le taux de recapture moyen du parc P7 est de 22.0% pour les opérations d'Transfert.
Résumé YTD Finance,"YTD : Budget total 90 621 DH, Réalisé 471 266 DH. Variance globale : 12.8%. Principaux drivers : Matières premières, Amortissements."
Accès pour tous et admin,Accès configuré pour tous et admin. Délais ou priorités spécifiques ?
Évolution mensuelle des achats ?,"Dernier mois : 53 DA créées, 58 BC créées. Valeur : 233 443 DH. Tendance : hausse."
Merci,De rien ! N'hésitez pas si vous avez d'autres questions sur AZURA AQUA.
Montre les données de type Récolte commerciale,"Pour le type « Récolte commerciale », il y a 49 lignes. Taux de recapture moyen : 48.2%. Biomasse totale : 757 kg."
Statut des bons de commande ?,BC en cours : 25. BC livrées : 194. Statut principal : Envoyé.
Salut,"Salut ! Que souhaitez-vous consulter ? Estran, Finance, ou Achats ?"
Montre les données de type Retour commercial,"Pour le type « Retour commercial », il y a 47 lignes. Taux de recapture moyen : 75.5%. Biomasse totale : 1535 kg."
Quel est le statut du poste Investissements ?,"Poste CAPEX (Investissements) : Budget 59 773 DH, Réalisé 181 069 DH. Variance : -4.2%. Tendance vs N-1 : -13.0%."
Quel est le statut du poste Amortissements ?,"Poste AMORT (Amortissements) : Budget 290 839 DH, Réalisé 489 938 DH. Variance : -23.8%. Tendance vs N-1 : 20.8%."
Compare Primaire et Hors calibre,"Primaire : 33 lignes, taux recapture 54.8%. Hors calibre : 19 lignes, taux recapture 74.3%."
Quel est le statut du poste EBITDA ?,"Poste EBITDA (EBITDA) : Budget 15 279 DH, Réalisé 94 689 DH. Variance : -13.6%. Tendance vs N-1 : 15.7%."
Comment importer des données ?,Glissez votre fichier .xlsx dans la barre d'import en haut de chaque page. Formats supportés : .xlsx et .xls (max 20 Mo).
Quelles sont les données du parc P3 ?,Le parc P3 est situé en zone Est. Phase : Échantillonnage. Biomasse récoltée : 527 kg. Taux de recapture : 75.4%.
Quel est le statut du poste Cash flow ?,"Poste CF (Cash flow) : Budget 276 365 DH, Réalisé 349 869 DH. Variance : -11.5%. Tendance vs N-1 : -16.8%."
